r[0],r[1],r[2],t[0],t[1],t[2]
38.6921,-14.9915,38.976,0.491449,0.169583,0.854236
39.1836,-14.8219,39.8302,0.606837,-0.283776,0.742441
39.7904,-15.1057,40.5727,0.437439,0.0134539,0.899148
40.2279,-15.0922,41.4718,0.6212,-0.0156081,0.783497
40.8491,-15.1079,42.2553,0.680378,0.302936,0.667319
41.5294,-14.8049,42.9226,0.686496,0.361808,0.630728
42.2159,-14.4431,43.5534,0.757399,0.44847,0.474575
42.9733,-13.9946,44.0279,0.926566,0.375699,0.018059
43.8999,-13.6189,44.046,0.573579,0.817718,0.0484075
44.4735,-12.8012,44.0944,0.57918,0.779451,-0.238759
45.0527,-12.0218,43.8556,0.642904,0.750551,-0.1528
45.6956,-11.2712,43.7028,0.630906,0.764932,-0.129754
46.3265,-10.5063,43.5731,0.364322,0.91825,0.155198
46.6908,-9.58804,43.7283,0.611099,0.730726,-0.304297
47.3019,-8.85731,43.424,0.866802,0.416343,-0.274433
48.1687,-8.44097,43.1496,0.989718,0.125725,0.0681983
49.1584,-8.31524,43.2178,0.958006,-0.011946,-0.2865
50.1164,-8.32719,42.9313,0.878413,-0.164482,-0.448704
50.9948,-8.49167,42.4825,0.645622,-0.698712,-0.308177
51.6405,-9.19038,42.1744,0,0,0
