r[0],r[1],r[2],t[0],t[1],t[2]
0,0,0,0.498566,0.399649,0.769229
0.498566,0.399649,0.769229,0.780301,0.371652,0.502997
1.27887,0.771301,1.27223,0.719094,0.0740162,0.69096
1.99796,0.845317,1.96319,0.652882,-0.593077,0.471174
2.65084,0.252241,2.43436,0.243952,-0.955083,0.168241
2.89479,-0.702842,2.6026,0.224198,-0.490434,0.842146
3.11899,-1.19328,3.44475,0.269796,-0.421022,0.865997
3.38879,-1.6143,4.31074,0.929659,-0.291349,0.225498
4.31845,-1.90565,4.53624,0.822629,-0.334951,0.459445
5.14108,-2.2406,4.99569,0.859982,-0.37467,0.346488
6.00106,-2.61527,5.34217,0.787834,0.000630268,0.615887
6.78889,-2.61464,5.95806,0.735597,-0.308262,0.603217
7.52449,-2.9229,6.56128,0.767665,-0.106139,0.632001
8.29215,-3.02904,7.19328,0.633495,-0.0351962,0.772946
8.92565,-3.06424,7.96622,0.211386,-0.546609,0.810268
9.13703,-3.61084,8.77649,0.322797,-0.472059,0.820343
9.45983,-4.0829,9.59684,0.463916,-0.304122,0.832041
9.92375,-4.38702,10.4289,-0.198373,0.406803,0.891717
9.72537,-3.98022,11.3206,-0.56643,0.159048,0.808616
9.15894,-3.82117,12.1292,-0.278036,0.157162,0.947626
8.88091,-3.66401,13.0768,-0.161558,-0.148209,0.975671
8.71935,-3.81222,14.0525,-0.545189,-0.18233,0.818245
8.17416,-3.99455,14.8708,-0.469424,-0.459812,0.7538
7.70474,-4.45436,15.6246,-0.397935,-0.898606,0.184811
7.3068,-5.35297,15.8094,-0.212605,-0.974549,0.0710828
7.0942,-6.32752,15.8804,-0.182003,-0.977118,0.110072
6.91219,-7.30463,15.9905,0.123859,-0.81643,0.564004
7.03605,-8.12106,16.5545,-0.0211986,-0.916548,0.399362
7.01485,-9.03761,16.9539,-0.194186,-0.874991,0.44349
6.82067,-9.9126,17.3974,-0.383136,-0.767367,0.514154
6.43753,-10.68,17.9115,-0.506257,-0.295451,0.810193
5.93128,-10.9754,18.7217,-0.636973,0.0502895,0.769244
5.2943,-10.9251,19.491,-0.532746,0.122421,0.837373
4.76156,-10.8027,20.3283,0.10492,-0.317766,0.942346
4.86648,-11.1205,21.2707,0.508226,-0.480617,0.714643
5.3747,-11.6011,21.9853,0.724682,-0.315756,0.612481
6.09938,-11.9169,22.5978,0.718819,0.312257,0.621124
6.8182,-11.6046,23.2189,0.500132,0.146134,0.85353
7.31834,-11.4585,24.0725,0.59459,-0.174839,0.784789
7.91293,-11.6333,24.8573,0.479353,-0.526577,0.702095
8.39228,-12.1599,25.5593,0.285254,0.128703,0.949772
8.67753,-12.0312,26.5091,0.230819,0.127721,0.964578
8.90835,-11.9035,27.4737,0.388263,-0.332019,0.85966
9.29661,-12.2355,28.3334,0.857583,-0.0640566,0.510342
10.1542,-12.2995,28.8437,0.967412,0.085971,0.238166
11.1216,-12.2136,29.0819,0.977165,0.0672887,-0.201546
12.0988,-12.1463,28.8803,0.825819,-0.526124,-0.203019
12.9246,-12.6724,28.6773,0.918573,-0.326597,-0.222617
13.8432,-12.999,28.4547,0.802066,-0.48729,-0.345309
14.6452,-13.4863,28.1094,0.818608,-0.490147,-0.299394
15.4638,-13.9764,27.81,0.823345,-0.566264,-0.0380547
16.2872,-14.5427,27.7719,0.779659,-0.577593,0.241905
17.0668,-15.1203,28.0138,0.929248,-0.333506,-0.158974
17.9961,-15.4538,27.8549,0.918805,-0.170932,-0.35578
18.9149,-15.6247,27.4991,0.86778,-0.469774,0.162082
19.7827,-16.0945,27.6612,0.975229,-0.220133,-0.021668
20.7579,-16.3146,27.6395,0.939128,0.0349021,0.341789
21.697,-16.2797,27.9813,0.946757,0.216506,0.238278
22.6438,-16.0632,28.2196,0.912613,0.36029,0.193206
23.5564,-15.7029,28.4128,0.90184,0.287458,0.322571
24.4582,-15.4155,28.7353,0.92037,0.256613,0.295074
25.3786,-15.1589,29.0304,0.98421,0.0853992,0.155038
26.3628,-15.0735,29.1854,0.971767,-0.0443166,0.231743
27.3346,-15.1178,29.4172,0.954005,-0.292573,0.0653883
28.2886,-15.4103,29.4826,0.921943,-0.0786598,0.379255
29.2105,-15.489,29.8618,0.990716,0.0483219,-0.127067
30.2013,-15.4407,29.7348,0.987133,0.134783,-0.0860304
31.1884,-15.3059,29.6487,0.929288,0.0333304,0.367849
32.1177,-15.2726,30.0166,0.871981,0.196667,0.448298
32.9897,-15.0759,30.4649,0.807056,0.456749,0.37422
33.7967,-14.6192,30.8391,0.643323,0.608327,0.464838
34.44,-14.0108,31.3039,0.747556,0.468191,0.471124
35.1876,-13.5426,31.7751,0.732386,0.136635,0.667039
35.92,-13.406,32.4421,0.773662,0.12635,0.620872
36.6936,-13.2797,33.063,0.572109,-0.313848,0.757754
37.2658,-13.5935,33.8207,0.742479,-0.435153,0.509281
38.0082,-14.0287,34.33,0.212024,-0.130893,0.968459
38.2203,-14.1595,35.2985,0.281846,0.107153,0.953457
38.5021,-14.0524,36.2519,0.147858,-0.591905,0.79233
38.65,-14.6443,37.0443,0.0864087,-0.350099,0.932719
38.7364,-14.9944,37.977,-0.0442287,0.0028934,0.999017
