r[0],r[1],r[2],t[0],t[1],t[2]
0,0,0,-0.252995,0.883005,0.395343
-0.252995,0.883005,0.395343,0.438139,0.864301,-0.24702
0.185144,1.74731,0.148324,0.445277,0.888503,-0.110863
0.630421,2.63581,0.0374608,0.575013,0.738017,-0.353116
1.20543,3.37383,-0.315655,0.962717,0.201842,-0.180097
2.16815,3.57567,-0.495752,0.828113,0.131158,-0.545001
2.99626,3.70683,-1.04075,0.561286,0.305585,-0.76914
3.55755,4.01241,-1.80989,0.511049,0.733164,-0.448664
4.0686,4.74558,-2.25856,0.589497,0.698505,0.405689
4.6581,5.44408,-1.85287,0.854425,0.517974,0.0407531
5.51252,5.96205,-1.81211,0.99848,0.0335184,0.0437475
6.511,5.99557,-1.76837,0.932457,0.100865,0.346917
7.44346,6.09644,-1.42145,0.844616,0.453929,0.283853
8.28807,6.55037,-1.1376,0.810863,0.314598,0.493488
9.09894,6.86497,-0.64411,0.469521,0.647723,0.600003
9.56846,7.51269,-0.0441067,0.0656519,0.609772,0.789853
9.63411,8.12246,0.745746,-0.302381,0.553068,0.776325
9.33173,8.67553,1.52207,-0.295217,0.611831,0.733833
9.03651,9.28736,2.2559,0.171656,0.880088,0.442695
9.20817,10.1674,2.6986,0.0132704,0.986304,0.164405
9.22144,11.1538,2.863,0.2155,0.827253,-0.518857
9.43694,11.981,2.34415,-0.349631,0.49468,-0.795644
9.08731,12.4757,1.5485,-0.319391,0.396185,-0.860829
8.76791,12.8719,0.687674,-0.848987,0.25488,-0.462878
7.91893,13.1267,0.224795,-0.88569,0.380406,-0.266167
7.03324,13.5072,-0.0413713,-0.997719,0.0662987,0.0127308
6.03552,13.5735,-0.0286405,-0.895875,0.306538,-0.321625
5.13964,13.88,-0.350265,-0.605025,0.412451,-0.681049
4.53462,14.2924,-1.03131,-0.718371,0.459793,-0.522047
3.81625,14.7522,-1.55336,-0.562042,0.283241,-0.7771
3.25421,15.0355,-2.33046,-0.536804,-0.0546286,-0.841937
2.7174,14.9808,-3.1724,-0.739686,-0.363625,-0.566252
1.97771,14.6172,-3.73865,-0.344522,-0.204696,-0.91619
1.63319,14.4125,-4.65484,-0.172717,-0.398285,-0.900854
1.46048,14.0142,-5.55569,-0.0445127,-0.732749,-0.679042
1.41596,13.2815,-6.23474,0.505616,-0.581785,-0.637086
1.92158,12.6997,-6.87182,0.407253,-0.143349,-0.901995
2.32883,12.5564,-7.77382,0.108884,-0.81322,-0.571679
2.43772,11.7431,-8.3455,0.298593,-0.399547,-0.86672
2.73631,11.3436,-9.21222,-0.252444,-0.413192,-0.874954
2.48387,10.9304,-10.0872,-0.282824,-0.0862044,-0.95529
