r[0],r[1],r[2],t[0],t[1],t[2]
0,0,0,0.0851787,-0.994961,-0.0528824
0.0851787,-0.994961,-0.0528824,-0.310077,-0.717669,-0.623541
-0.224898,-1.71263,-0.676424,0.507077,-0.813582,-0.284529
0.282179,-2.52621,-0.960953,0.660824,-0.560202,-0.499484
0.943003,-3.08641,-1.46044,0.809897,-0.45927,-0.364882
1.7529,-3.54568,-1.82532,0.786431,-0.433946,-0.439564
2.53933,-3.97963,-2.26488,0.848329,-0.227422,-0.478139
3.38766,-4.20705,-2.74302,0.99556,-0.073542,-0.0587597
4.38322,-4.28059,-2.80178,0.888881,-0.360328,0.28294
5.2721,-4.64092,-2.51884,0.967327,-0.138669,0.212249
6.23943,-4.77959,-2.30659,0.957752,-0.135213,0.25383
7.19718,-4.9148,-2.05276,0.853569,-0.296026,0.428706
8.05075,-5.21083,-1.62406,0.847244,0.524642,-0.0832363
8.89799,-4.68619,-1.70729,0.991958,0.0752761,0.10175
9.88995,-4.61091,-1.60554,0.920989,0.120159,0.370596
10.8109,-4.49075,-1.23495,0.891725,0.418649,-0.171928
11.7027,-4.0721,-1.40687,0.781716,0.613331,-0.112894
12.4844,-3.45877,-1.51977,0.937284,0.242328,0.25055
13.4217,-3.21645,-1.26922,0.864124,0.411066,0.29037
14.2858,-2.80538,-0.978849,0.709634,-0.110997,0.695773
14.9954,-2.91638,-0.283076,0.576469,0.0528277,0.815409
15.5719,-2.86355,0.532334,0.595629,0.27814,0.753568
16.1675,-2.58541,1.2859,0.297292,0.0644271,0.95261
16.4648,-2.52098,2.23851,0.372755,-0.177183,0.910857
16.8376,-2.69817,3.14937,0.460728,0.0468027,0.886307
17.2983,-2.65136,4.03568,0.718542,-0.0561898,0.69321
18.0168,-2.70755,4.72889,0.888148,0.0630007,0.45522
18.905,-2.64455,5.18411,0.904505,-0.0730826,0.420155
19.8095,-2.71763,5.60426,0.810781,-0.143462,0.567496
20.6203,-2.8611,6.17176,0.417814,-0.507899,0.753306
21.0381,-3.369,6.92506,0.763089,-0.320641,0.561146
21.8012,-3.68964,7.48621,0.736868,-0.331209,0.589344
22.538,-4.02085,8.07555,0.951845,0.0126663,0.306318
23.4899,-4.00818,8.38187,0.681,0.275825,0.67835
24.1709,-3.73235,9.06022,0.710658,0.447115,0.543188
24.8815,-3.28524,9.60341,0.969937,0.0887673,0.22659
25.8515,-3.19647,9.83,0.860533,0.476357,-0.180462
26.712,-2.72011,9.64954,0.945193,-0.114069,0.30594
27.6572,-2.83418,9.95548,0.917835,-0.366368,0.152817
28.575,-3.20055,10.1083,0.699844,0.0253271,0.713846
29.2749,-3.17523,10.8221,0.975235,-0.0540547,0.214465
30.2501,-3.22928,11.0366,0.970858,-0.178111,-0.160349
31.221,-3.40739,10.8763,0.99784,0.031524,0.0576263
32.2188,-3.37587,10.9339,0.959973,-0.204448,0.19145
33.1788,-3.58032,11.1253,0.919757,-0.381449,0.0924353
34.0985,-3.96176,11.2178,0.937653,-0.291278,-0.189644
35.0362,-4.25304,11.0281,0.945738,0.322082,0.0429196
35.9819,-3.93096,11.071,0.954257,0.235407,-0.184329
36.9362,-3.69555,10.8867,0.745904,0.289041,-0.600069
37.6821,-3.40651,10.2866,0.589817,0.0202656,-0.807283
38.2719,-3.38625,9.47936,0.474726,0.351212,-0.807022
38.7466,-3.03503,8.67234,0.758428,0.298496,-0.579385
39.5051,-2.73654,8.09296,0.265684,0.358826,-0.894794
39.7708,-2.37771,7.19816,0.212117,0.191195,-0.958358
39.9829,-2.18652,6.2398,0.3922,-0.59416,-0.702248
40.3751,-2.78068,5.53756,0.639139,-0.476445,-0.60374
41.0142,-3.25712,4.93382,0.60755,-0.629016,-0.484997
41.6218,-3.88614,4.44882,0.700511,-0.622453,-0.34905
42.3223,-4.50859,4.09977,0.38024,-0.923733,0.0462092
42.7025,-5.43232,4.14598,0.901007,-0.387003,-0.195996
43.6035,-5.81933,3.94998,0.835944,-0.494733,0.237562
44.4395,-6.31406,4.18754,0.904963,-0.351061,0.240414
45.3444,-6.66512,4.42796,0.988766,-0.115019,-0.0954538
46.3332,-6.78014,4.3325,0.740295,-0.423366,-0.522231
47.0735,-7.20351,3.81027,0.915615,-0.181892,-0.35856
47.9891,-7.3854,3.45171,0.759868,0.571855,-0.309163
48.749,-6.81354,3.14255,0.286047,0.92066,-0.265637
49.035,-5.89288,2.87691,0.909184,0.378562,0.173421
49.9442,-5.51432,3.05033,0.729198,0.652713,-0.205515
50.6734,-4.86161,2.84482,0.666353,0.221154,-0.712084
51.3398,-4.64045,2.13273,0.6346,-0.199337,-0.746691
51.9744,-4.83979,1.38604,0.383404,-0.436968,-0.813671
52.3578,-5.27676,0.572373,0.85201,-0.0656739,-0.519389
53.2098,-5.34243,0.0529836,0.897991,-0.163173,-0.40864
54.1078,-5.50561,-0.355656,0.889861,0.0638102,-0.451747
54.9976,-5.4418,-0.807403,0.908167,0.195121,-0.370352
55.9058,-5.24667,-1.17776,0.832335,0.529151,-0.164977
56.7381,-4.71752,-1.34273,0.883705,0.287481,-0.369352
57.6218,-4.43004,-1.71208,0.643082,0.736468,0.209908
58.2649,-3.69358,-1.50218,0.691166,0.72091,-0.0507762
58.9561,-2.97267,-1.55295,0.133629,0.913601,-0.384027
59.0897,-2.05906,-1.93698,-0.267013,0.814309,-0.515368
58.8227,-1.24476,-2.45235,-0.373726,0.654947,-0.65679
58.449,-0.589808,-3.10914,-0.420821,0.424204,-0.801848
58.0281,-0.165604,-3.91099,-0.616958,0.63201,-0.468963
57.4112,0.466406,-4.37995,-0.173767,0.896673,-0.407164
57.2374,1.36308,-4.78711,-0.610013,0.460842,-0.644599
56.6274,1.82392,-5.43171,-0.429962,0.78351,-0.448602
56.1974,2.60743,-5.88032,0.0102351,0.696327,-0.717652
56.2077,3.30376,-6.59797,-0.37824,0.803387,-0.459895
55.8294,4.10715,-7.05786,-0.455377,0.458345,-0.763251
55.3741,4.56549,-7.82111,-0.11556,0.0578799,-0.991613
55.2585,4.62337,-8.81273,0.133045,0.507698,-0.8512
55.3915,5.13107,-9.66393,0.697093,0.441252,-0.565117
56.0886,5.57232,-10.229,0.54693,0.609801,-0.573594
56.6356,6.18212,-10.8026,0.861996,0.119287,-0.492681
57.4976,6.30141,-11.2953,0.840572,-0.536232,0.0767739
58.3381,5.76518,-11.2185,0.983251,-0.180605,0.0244927
59.3214,5.58457,-11.1941,0.9724,0.206906,-0.107838
60.2938,5.79148,-11.3019,0.894947,0.300219,-0.330059
61.1887,6.0917,-11.6319,0,0,0
