r[0],r[1],r[2],t[0],t[1],t[2]
0,0,0,0.2068,0.734049,0.646843
0.2068,0.734049,0.646843,-0.165069,0.572429,0.803167
0.0417314,1.30648,1.45001,0.0382984,0.270015,0.962094
0.0800298,1.57649,2.4121,0.177421,-0.125543,0.976095
0.257451,1.45095,3.3882,0.232604,-0.475944,0.848158
0.490054,0.975006,4.23636,0.300076,-0.405123,0.863614
0.790131,0.569882,5.09997,0.149434,-0.423182,0.893636
0.939564,0.1467,5.99361,-0.120848,-0.34439,0.931016
0.818716,-0.19769,6.92462,0.34994,-0.220025,0.910566
1.16866,-0.417715,7.83519,0.206363,-0.598495,0.774092
1.37502,-1.01621,8.60928,0.011411,-0.707154,0.706967
1.38643,-1.72336,9.31625,-0.188075,-0.383278,0.904282
1.19836,-2.10664,10.2205,-0.609385,-0.109797,0.785235
0.58897,-2.21644,11.0058,-0.579525,-0.208115,0.787933
0.00944477,-2.42455,11.7937,-0.662199,0.122747,0.739206
-0.652754,-2.30181,12.5329,-0.362283,-0.452162,0.815047
-1.01504,-2.75397,13.348,-0.320746,-0.113369,0.940356
-1.33578,-2.86734,14.2883,-0.173148,0.113896,0.978288
-1.50893,-2.75344,15.2666,0.192012,-0.10308,0.975964
-1.31692,-2.85652,16.2426,0.285268,0.306263,0.908199
-1.03165,-2.55026,17.1508,0.176223,-0.186468,0.966527
-0.855428,-2.73673,18.1173,0.459299,0.0586813,0.886341
-0.396129,-2.67804,19.0036,0.3289,-0.136294,0.934478
-0.0672293,-2.81434,19.9381,-0.254935,0.010215,0.966904
-0.322164,-2.80412,20.905,-0.242421,0.166709,0.95574
-0.564585,-2.63741,21.8608,-0.0862839,-0.0709134,0.993744
-0.650869,-2.70833,22.8545,0.0855022,-0.445356,0.891262
-0.565367,-3.15368,23.7458,-0.305272,-0.684395,0.662127
-0.870639,-3.83808,24.4079,-0.143019,-0.682919,0.716356
-1.01366,-4.521,25.1242,-0.298861,-0.645035,0.703286
-1.31252,-5.16603,25.8275,-0.50506,-0.498891,0.704288
-1.81758,-5.66493,26.5318,-0.0145837,-0.294278,0.955609
-1.83216,-5.9592,27.4874,-0.0815278,-0.617574,0.782276
-1.91369,-6.57678,28.2697,0.120808,-0.558736,0.8205
