r[0],r[1],r[2],t[0],t[1],t[2]
0,0,0,0.272301,-0.623563,0.732817
0.272301,-0.623563,0.732817,0.114252,-0.843318,0.52513
0.386553,-1.46688,1.25795,-0.246009,-0.902585,0.353298
0.140544,-2.36947,1.61124,-0.823784,-0.368869,0.430483
-0.68324,-2.73834,2.04173,-0.5691,-0.664083,0.484891
-1.25234,-3.40242,2.52662,-0.333219,-0.64177,0.690721
-1.58556,-4.04419,3.21734,-0.50988,-0.175671,0.842118
-2.09544,-4.21986,4.05946,-0.465008,-0.321751,0.824769
-2.56045,-4.54161,4.88423,0.018191,-0.182077,0.983116
-2.54226,-4.72369,5.86734,-0.21194,-0.683003,0.698991
-2.7542,-5.40669,6.56633,0.0085368,-0.168196,0.985717
-2.74566,-5.57489,7.55205,0.0912869,-0.232773,0.968237
-2.65437,-5.80766,8.52029,0.326717,-0.265733,0.906996
-2.32765,-6.07339,9.42728,0.487442,-0.134132,0.862791
-1.84021,-6.20752,10.2901,0.179962,0.360014,0.915425
-1.66025,-5.84751,11.2055,0.181532,0.348123,0.919705
-1.47872,-5.49939,12.1252,0.0130167,0.759266,0.65065
-1.4657,-4.74012,12.7759,0.796785,0.4283,0.426254
-0.668915,-4.31182,13.2021,0.665793,0.178506,0.724469
-0.00312257,-4.13332,13.9266,0.611649,-0.0799926,0.787075
0.608526,-4.21331,14.7137,-0.0110686,-0.108114,0.994077
0.597458,-4.32142,15.7077,0.222052,0.367255,0.903226
0.819509,-3.95417,16.611,0.663484,0.422762,0.617302
1.48299,-3.5314,17.2283,0.433558,0.587924,0.682915
1.91655,-2.94348,17.9112,0.739406,0.288577,0.608278
2.65596,-2.6549,18.5194,0.498911,0.641249,0.582999
3.15487,-2.01366,19.1024,0.68804,0.57547,0.44208
3.84291,-1.43819,19.5445,0.594763,0.682565,0.424692
4.43767,-0.755621,19.9692,0.466317,0.798871,0.37994
4.90399,0.0432501,20.3492,0.0705319,0.987175,0.143216
4.97452,1.03042,20.4924,-0.0989088,0.912735,0.396398
4.87561,1.94316,20.8888,-0.1079,0.427584,0.897513
4.76771,2.37074,21.7863,0.0849991,0.489385,0.867916
4.85271,2.86013,22.6542,0.372182,0.589358,0.717034
5.22489,3.44949,23.3712,0.256182,0.596431,0.760684
5.48108,4.04592,24.1319,-0.190988,0.33619,0.922226
5.29009,4.38211,25.0541,0.346318,-0.118949,0.930546
5.63641,4.26316,25.9847,0.399599,0.0765519,0.913488
6.036,4.33971,26.8982,0.617056,0.050677,0.785286
6.65306,4.39039,27.6835,0.897644,0.0365197,0.439206
7.5507,4.42691,28.1227,0.91234,-0.282462,0.296396
8.46305,4.14445,28.4191,0.917493,-0.0345481,0.396248
9.38054,4.1099,28.8153,0.964463,0.122172,0.234275
10.345,4.23207,29.0496,0.784185,-0.287994,0.549648
11.1292,3.94408,29.5992,0.668072,-0.236814,0.705407
11.7973,3.70726,30.3046,0.391784,-0.284387,0.875003
12.189,3.42287,31.1796,0.563426,-0.213608,0.798075
12.7525,3.20927,31.9777,0.502979,-0.10059,0.858425
13.2554,3.10868,32.8361,0.352393,-0.199241,0.914397
13.6078,2.90944,33.7505,0.485148,0.134948,0.863956
14.093,3.04438,34.6145,0.956706,-0.0277864,0.289726
15.0497,3.0166,34.9042,0.963415,0.102994,0.247433
16.0131,3.11959,35.1517,0.980292,-0.107603,0.165676
16.9934,3.01199,35.3173,0.791789,0.240917,0.561274
17.7852,3.25291,35.8786,0.952753,0.172452,0.250045
18.7379,3.42536,36.1287,0.985136,-0.0167961,0.170951
19.7231,3.40856,36.2996,0.952969,0.172558,0.249145
20.676,3.58112,36.5488,0.76732,0.639006,-0.0537751
21.4434,4.22013,36.495,0.851238,0.516438,-0.0931983
22.2946,4.73656,36.4018,0.955991,0.121347,-0.267125
23.2506,4.85791,36.1347,0.900893,0.375313,-0.218018
24.1515,5.23322,35.9166,0.994044,0.0614923,-0.0899789
25.1455,5.29472,35.8267,0.936725,0.296833,0.185572
26.0823,5.59155,36.0122,0.923531,0.0320397,0.382183
27.0058,5.62359,36.3944,0.645277,-0.0711421,0.760629
27.6511,5.55245,37.155,0.869571,0.0964304,0.484301
28.5206,5.64888,37.6393,0.909572,-0.372919,0.183333
29.4302,5.27596,37.8227,0.922434,-0.320814,0.214926
30.3526,4.95514,38.0376,0.794518,-0.58997,-0.143798
31.1472,4.36517,37.8938,0.837066,0.136643,0.529764
31.9842,4.50182,38.4236,0.837898,-0.363642,0.407052
32.8221,4.13818,38.8306,0.896318,-0.0904021,0.434099
33.7184,4.04777,39.2647,0.84447,0.0263426,0.534954
34.5629,4.07412,39.7997,0.805463,-0.0400344,0.591292
35.3684,4.03408,40.391,0.730756,0.123206,0.671429
36.0991,4.15729,41.0624,0.816745,0.267202,0.511401
36.9159,4.42449,41.5738,0.589395,0.553123,0.588785
37.5053,4.97761,42.1626,0.515425,0.569215,0.640572
38.0207,5.54683,42.8032,0.401824,0.413671,0.816954
38.4225,5.9605,43.6201,0.306675,0.459441,0.833585
38.7292,6.41994,44.4537,0.0584046,0.194923,0.979078
38.7876,6.61486,45.4328,-0.281925,0.054538,0.957885
38.5057,6.6694,46.3907,0.190009,0.235034,0.953234
38.6957,6.90443,47.3439,0.583017,-0.00287506,0.812455
39.2787,6.90156,48.1563,0.672475,-0.00843115,0.740072
39.9512,6.89313,48.8964,0.460435,0.693718,0.553855
40.4116,7.58685,49.4503,0.543567,0.405737,0.734787
40.9552,7.99258,50.1851,0.624431,0.378848,0.683052
41.5796,8.37143,50.8681,0.863203,-0.0676152,0.500308
42.4428,8.30382,51.3684,0.928654,0.184979,0.321534
43.3715,8.4888,51.69,0.938274,0.134401,0.318713
44.3097,8.6232,52.0087,0.90061,-0.252296,0.353904
45.2104,8.3709,52.3626,0.883589,-0.352665,0.308054
46.0939,8.01823,52.6706,0.939186,-0.316419,-0.133452
47.0331,7.70182,52.5372,0.97241,-0.213384,-0.0942617
48.0055,7.48843,52.4429,0.951019,-0.244202,0.189546
48.9566,7.24423,52.6325,0.965599,-0.111364,0.234982
49.9222,7.13287,52.8674,0.93671,-0.0913113,0.337989
50.8589,7.04155,53.2054,0.796311,-0.00825693,0.604831
51.6552,7.0333,53.8103,0.492002,-0.206936,0.845643
52.1472,6.82636,54.6559,0,0,0
