r[0],r[1],r[2],t[0],t[1],t[2]
0,0,0,0.610557,-0.772202,0.175855
0.610557,-0.772202,0.175855,0.790386,-0.493081,0.363538
1.40094,-1.26528,0.539393,0.764534,-0.556858,0.324649
2.16548,-1.82214,0.864042,0.960741,-0.0855363,0.263931
3.12622,-1.90768,1.12797,0.857549,0.115892,0.501177
3.98377,-1.79179,1.62915,0.933326,-0.323347,0.156042
4.91709,-2.11513,1.78519,0.900753,-0.356414,0.248221
5.81785,-2.47155,2.03341,0.955649,-0.201819,0.214487
6.7735,-2.67337,2.2479,0.887577,0.141695,-0.438327
7.66107,-2.53167,1.80957,0.83943,0.183452,-0.511569
8.5005,-2.34822,1.298,0.979824,-0.199729,0.00730072
9.48033,-2.54795,1.30531,0.813085,-0.50165,-0.295364
10.2934,-3.0496,1.00994,0.858301,-0.482584,0.174446
11.1517,-3.53218,1.18439,0.787211,-0.593412,0.167813
11.9389,-4.12559,1.3522,0.925393,-0.369657,0.0836753
12.8643,-4.49525,1.43588,0.769936,-0.447388,-0.455019
13.6343,-4.94264,0.980857,0.857122,-0.503734,-0.107677
14.4914,-5.44637,0.87318,0.78347,-0.592483,0.187455
15.2748,-6.03886,1.06063,0.8649,-0.355351,0.354505
16.1397,-6.39421,1.41514,0.953994,-0.267541,0.135341
17.0937,-6.66175,1.55048,0.999461,0.0170728,-0.028029
18.0932,-6.64468,1.52245,0.765328,-0.061762,-0.640671
18.8585,-6.70644,0.881781,0.846201,-0.133757,-0.515803
19.7047,-6.84019,0.365978,0.742406,0.358501,-0.56596
20.4471,-6.48169,-0.199982,0.513485,0.149427,-0.844988
20.9606,-6.33227,-1.04497,0.706328,0.510705,-0.490185
21.6669,-5.82156,-1.53516,0.914307,0.383879,-0.129151
22.5813,-5.43768,-1.66431,0.740451,0.39896,0.540891
23.3217,-5.03872,-1.12342,0.919743,0.235838,0.313774
24.2414,-4.80288,-0.809642,0.815386,0.256194,0.519145
25.0568,-4.54669,-0.290498,0.805055,-0.10347,0.584106
25.8619,-4.65016,0.293608,0.77334,-0.230543,0.590589
26.6352,-4.8807,0.884197,0.586759,-0.408443,0.699205
27.222,-5.28915,1.5834,0.806833,-0.555368,0.201464
28.0288,-5.84451,1.78487,0.906213,0.320844,0.275386
28.935,-5.52367,2.06025,0.904903,0.425232,-0.0181161
29.8399,-5.09844,2.04214,0.98987,0.117933,-0.0790559
