r[0],r[1],r[2],t[0],t[1],t[2]
0,0,0,-0.040143,0.00603651,0.999176
-0.040143,0.00603651,0.999176,-0.0273879,0.0754193,0.996776
-0.067531,0.0814559,1.99595,-0.154618,0.0508124,0.986667
-0.222149,0.132268,2.98262,0.064233,0.0496168,0.996701
-0.157916,0.181885,3.97932,0.0030431,0.0747671,0.997196
-0.154873,0.256652,4.97652,0.0591483,0.0376084,0.997541
-0.095725,0.29426,5.97406,0.158605,0.155362,0.975042
0.0628803,0.449623,6.9491,0.0833488,0.070681,0.994011
0.146229,0.520304,7.94311,0.0763805,0.0689157,0.994694
0.22261,0.589219,8.9378,0.0654162,0.12734,0.9897
0.288026,0.71656,9.9275,0.207912,-0.0387362,0.97738
0.495937,0.677824,10.9049,0.218949,-0.0796715,0.972478
0.714887,0.598152,11.8774,0.0385911,0.0386841,0.998506
0.753478,0.636836,12.8759,0.220882,0.0914874,0.971
0.97436,0.728324,13.8469,0.147547,-0.0259626,0.988714
1.12191,0.702361,14.8356,0.193719,0.145001,0.970282
1.31563,0.847362,15.8059,0.18126,0.0831889,0.97991
1.49689,0.930551,16.7858,0.125874,-0.049767,0.990797
1.62276,0.880784,17.7766,0.133109,-0.166103,0.977083
1.75587,0.714681,18.7537,0.226517,-0.0251214,0.973683
1.98239,0.68956,19.7273,0.132943,-0.061551,0.989211
2.11533,0.628009,20.7165,0.111898,-0.011689,0.993651
2.22723,0.61632,21.7102,0.13755,-0.0196989,0.990299
2.36478,0.596621,22.7005,0.206783,-0.0347219,0.97777
2.57156,0.561899,23.6783,0.218119,-0.0146934,0.975811
2.78968,0.547206,24.6541,0.0840913,0.015519,0.996337
2.87377,0.562725,25.6504,0.0497119,-0.0459133,0.997708
2.92348,0.516812,26.6481,0.269836,0.134948,0.953403
3.19332,0.65176,27.6015,0.252085,0.0998323,0.962542
3.44541,0.751592,28.5641,0.329311,0.0116908,0.944149
3.77472,0.763283,29.5082,0.332422,-0.0264273,0.94276
4.10714,0.736856,30.451,0.227424,0.0545566,0.972266
4.33456,0.791412,31.4232,0.224842,0.153089,0.962294
4.5594,0.944502,32.3855,0.280603,0.103608,0.954215
4.84001,1.04811,33.3398,0.262835,-0.0924398,0.960402
5.10284,0.95567,34.3002,0.389784,0.0865455,0.916831
5.49263,1.04222,35.217,0.42933,0.0175994,0.902976
5.92196,1.05981,36.12,0.220103,0.0656814,0.973263
6.14206,1.1255,37.0932,0.378082,-0.0358666,0.925077
6.52014,1.08963,38.0183,0.374367,0.0336152,0.926671
6.89451,1.12324,38.945,0.153345,-0.0651093,0.986025
7.04785,1.05814,39.931,0.413764,0.0391888,0.90954
7.46162,1.09732,40.8405,0.336541,-0.0598942,0.939762
7.79816,1.03743,41.7803,0.27651,-0.0497978,0.95972
8.07467,0.987632,42.74,0.472263,-0.119823,0.873275
8.54693,0.867809,43.6133,0.341328,0.178677,0.922805
8.88826,1.04649,44.5361,0.323466,0.108321,0.940019
9.21173,1.15481,45.4761,0.331945,-0.0447219,0.942238
9.54367,1.11009,46.4184,0.327668,-0.0177654,0.944626
9.87134,1.09232,47.363,0.316923,-0.0819708,0.944902
10.1883,1.01035,48.3079,0.445826,-0.0656182,0.892711
10.6341,0.944731,49.2006,0.259046,0.133426,0.956605
10.8931,1.07816,50.1572,0.371677,0.196343,0.907362
11.2648,1.2745,51.0646,0.440949,0.0724511,0.894603
11.7058,1.34695,51.9592,0.363875,-0.0474789,0.930237
12.0696,1.29947,52.8894,0.351148,0.19295,0.916223
12.4208,1.49242,53.8056,0.496254,-0.0785757,0.864614
12.917,1.41385,54.6702,0.413118,-0.026978,0.910278
13.3302,1.38687,55.5805,0.485459,-0.11276,0.866957
13.8156,1.27411,56.4475,0.501509,0.0265658,0.864744
14.3171,1.30068,57.3122,0.489488,-0.0741625,0.86885
14.8066,1.22651,58.1811,0.460521,0.051261,0.886168
15.2671,1.27777,59.0672,0.448924,0.0170417,0.893407
15.7161,1.29482,59.9606,0.444012,0.132134,0.886224
16.1601,1.42695,60.8469,0.393224,-0.0800714,0.91595
16.5533,1.34688,61.7628,0.31208,-0.16538,0.935551
16.8654,1.1815,62.6984,0.513442,0.00711435,0.858095
17.3788,1.18861,63.5565,0.581585,-0.18365,0.792484
17.9604,1.00496,64.349,0.493805,-0.144023,0.857563
18.4542,0.860939,65.2065,0.586273,0.0141368,0.80999
19.0405,0.875075,66.0165,0.511282,0.0940229,0.854254
19.5518,0.969098,66.8708,0.524494,0.0945938,0.846143
20.0763,1.06369,67.7169,0.535199,-0.15952,0.829527
