stats,L,kappa,f,g,E,Tb,X,Y,Z,Xsign(Z),Zsign(X),R,R2,Rg2,Sxx,Syy,Szz,Sxy,Sxz,Syz,Sq

mean,4,5.25914,0.0982669,0.620534,0.982855,0.830361,2.4071,-1.00581,1.5601,2.12118,1.54874,3.68232,13.6175,2.01213,0.838709,0.507988,0.448712,-0.16858,0.492004,-0.0798115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
std/sqrt(number of polymer),NA,NA,NA,NA,0.279672,0.0821504,0.142966,0.256489,0.152374,0.229798,0.155245,0.0380782,0.265954,0.0245448,0.0747463,0.081392,0.0573446,0.0637299,0.0492171,0.047982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 qB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-39.2699,-37.6991,-36.1283,-34.5575,-32.9867,-31.4159,-29.8451,-28.2743,-26.7035,-25.1327,-23.5619,-21.9911,-20.4204,-18.8496,-17.2788,-15.708,-14.1372,-12.5664,-10.9956,-9.42478,-7.85398,-6.28319,-4.71239,-3.14159,-1.5708,-1.77636e-15,1.5708,3.14159,4.71239,6.28319,7.85398,9.42478,10.9956,12.5664,14.1372,15.708,17.2788,18.8496,20.4204,21.9911,23.5619,25.1327,26.7035,28.2743,29.8451,31.4159,32.9867,34.5575,36.1283,37.6991,39.2699
 tts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.861606,0.775609,0.672691,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
std_tts/sqrt(number of polymer),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0136917,0.0262249,0.0526955,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 r(for tts),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Sq2D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16126,0.146365,0.168318,0.285611,0.268318,0.196436,0.139289,0.134054,0.198619,0.236533,0.255412,0.214606,0.205996,0.170194,0.144428,0.191965,0.219206,0.141635,0.150533,0.206134,0.216404,0.164149,0.209032,0.242814,0.175291,0.22693,0.269449,0.229571,0.207789,0.203113,0.189496,0.193337,0.211796,0.166743,0.204538,0.161677,0.22953,0.227616,0.180214,0.193358,0.208055,0.192664,0.240852,0.207958,0.199398,0.18518,0.201006,0.16697,0.181432,0.183931,0.196996
Sq2D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.157401,0.182582,0.272817,0.277656,0.197845,0.141701,0.13802,0.206137,0.241547,0.237742,0.230078,0.172049,0.116113,0.133393,0.118129,0.187251,0.169204,0.189922,0.204147,0.220526,0.192469,0.215106,0.221043,0.147279,0.174227,0.214769,0.181797,0.182344,0.116158,0.144562,0.169949,0.186662,0.214379,0.204416,0.153282,0.215592,0.201527,0.22253,0.175564,0.200787,0.243436,0.195353,0.243431,0.198027,0.198833,0.231565,0.166496,0.165103,0.185905,0.228286,0.226808
Sq2D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.197595,0.257845,0.263573,0.210269,0.164147,0.164798,0.149974,0.247028,0.275328,0.210136,0.139875,0.119534,0.154592,0.17471,0.255034,0.253442,0.225833,0.245343,0.214771,0.189035,0.265255,0.22149,0.162645,0.165766,0.200466,0.165034,0.168798,0.173504,0.188562,0.172083,0.201265,0.255446,0.207096,0.177585,0.218658,0.221814,0.213092,0.164763,0.198258,0.188669,0.168517,0.188397,0.17275,0.181244,0.200691,0.18592,0.167908,0.233476,0.209848,0.224118,0.242107
Sq2D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.221237,0.215803,0.198116,0.151173,0.151155,0.173614,0.2529,0.309949,0.153808,0.106505,0.120322,0.182786,0.235847,0.285328,0.241665,0.273429,0.240568,0.206807,0.220342,0.204019,0.22376,0.176895,0.195983,0.196918,0.174686,0.209411,0.219808,0.16961,0.203717,0.21529,0.265574,0.262143,0.24068,0.248188,0.209011,0.219741,0.174438,0.192576,0.165278,0.159393,0.237392,0.168887,0.124407,0.156469,0.210046,0.175881,0.190278,0.218907,0.249972,0.24914,0.201117
Sq2D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.196683,0.203669,0.16189,0.167787,0.186867,0.247629,0.230132,0.152678,0.129369,0.154391,0.205695,0.28731,0.30856,0.255666,0.242413,0.202884,0.138542,0.180146,0.176002,0.186751,0.231836,0.22461,0.190134,0.226429,0.191831,0.237406,0.206394,0.251435,0.302228,0.220918,0.263456,0.24429,0.15712,0.187361,0.157217,0.169593,0.212693,0.144893,0.243806,0.194608,0.160228,0.154906,0.192564,0.206495,0.220763,0.241139,0.251983,0.220775,0.244471,0.162181,0.16544
Sq2D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.202159,0.142528,0.141624,0.186652,0.258218,0.224934,0.194645,0.145767,0.167735,0.211957,0.325165,0.311678,0.245188,0.195878,0.13404,0.173521,0.153981,0.202204,0.220246,0.254614,0.217202,0.19917,0.184004,0.181637,0.200186,0.215905,0.238677,0.245399,0.199154,0.21381,0.195759,0.150353,0.173029,0.148438,0.169668,0.219975,0.156955,0.21771,0.181103,0.267063,0.158958,0.205266,0.174215,0.200907,0.272087,0.197191,0.215343,0.146352,0.175529,0.18737,0.163049
Sq2D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.189189,0.16498,0.234063,0.275207,0.228131,0.170852,0.178619,0.167261,0.182304,0.314135,0.24666,0.192282,0.140963,0.140201,0.177292,0.233163,0.312625,0.244709,0.194739,0.200605,0.175966,0.172195,0.178757,0.180224,0.15263,0.184297,0.183495,0.157334,0.170525,0.216442,0.188254,0.180024,0.187475,0.165533,0.17765,0.16321,0.230238,0.220572,0.192626,0.199185,0.219376,0.180555,0.211829,0.249417,0.234095,0.169605,0.148122,0.184791,0.180072,0.219228,0.178626
Sq2D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.170582,0.20918,0.230614,0.210992,0.186255,0.145919,0.162912,0.225249,0.314506,0.237549,0.161979,0.131559,0.151309,0.207944,0.297386,0.231238,0.17878,0.143208,0.139292,0.175497,0.159806,0.152322,0.175285,0.156266,0.230345,0.148175,0.188102,0.24173,0.165311,0.163372,0.163367,0.186333,0.17074,0.199553,0.26339,0.2051,0.235363,0.214841,0.204402,0.237829,0.169467,0.202758,0.225239,0.240979,0.184508,0.158654,0.180688,0.19031,0.240328,0.202577,0.212784
Sq2D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175526,0.214132,0.205169,0.175446,0.151342,0.193922,0.23416,0.255195,0.193366,0.146291,0.131815,0.188796,0.203431,0.291276,0.227427,0.178502,0.121224,0.140923,0.175163,0.181197,0.192654,0.212367,0.222635,0.226231,0.173209,0.220165,0.168313,0.160515,0.144725,0.192673,0.178017,0.163554,0.208665,0.178633,0.197475,0.263981,0.175698,0.235401,0.203878,0.192096,0.220066,0.1974,0.210938,0.185146,0.170159,0.178729,0.190312,0.283248,0.205135,0.211115,0.215637
