stats,L,kappa,f,g,E,Tb,X,Y,Z,Xsign(Z),Zsign(X),R,R2,Rg2,Sxx,Syy,Szz,Sxy,Sxz,Syz,Sq

mean,10,12.4222,0.406151,0.0124546,6.1834,1.49881,7.60548,1.28285,0.947892,2.85915,0.947892,9.07625,82.5673,9.00818,6.0679,1.73222,0.990928,0.829934,0.641811,0.163099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
std/sqrt(number of polymer),NA,NA,NA,NA,0.400627,0.0591571,0.169195,0.577298,0.438858,1.12709,0.438858,0.0687354,1.22877,0.0763441,0.266334,0.215727,0.1664,0.42826,0.304211,0.165797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 qB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15.708,-15.0796,-14.4513,-13.823,-13.1947,-12.5664,-11.9381,-11.3097,-10.6814,-10.0531,-9.42478,-8.79646,-8.16814,-7.53982,-6.9115,-6.28319,-5.65487,-5.02655,-4.39823,-3.76991,-3.14159,-2.51327,-1.88496,-1.25664,-0.628319,0,0.628319,1.25664,1.88496,2.51327,3.14159,3.76991,4.39823,5.02655,5.65487,6.28319,6.9115,7.53982,8.16814,8.79646,9.42478,10.0531,10.6814,11.3097,11.9381,12.5664,13.1947,13.823,14.4513,15.0796,15.708
 tts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.916733,0.86463,0.830561,0.787463,0.756924,0.707063,0.678602,0.662323,0.603991,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
std_tts/sqrt(number of polymer),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0032865,0.00800139,0.0121647,0.0171217,0.0216249,0.0255113,0.0326124,0.0398277,0.0456667,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 r(for tts),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Sq2D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0929854,0.0935743,0.1039,0.116673,0.140788,0.143357,0.106943,0.086198,0.0829345,0.0852671,0.0777844,0.0750066,0.0582596,0.0539153,0.0712009,0.0615745,0.0691393,0.0618227,0.0809472,0.0741216,0.0663086,0.0729926,0.069819,0.0931351,0.0928979,0.0871783,0.0871626,0.0793638,0.0781394,0.077671,0.0715543,0.0764281,0.0701629,0.0605238,0.0664529,0.0736393,0.0628083,0.0718703,0.0924371,0.0798595,0.069907,0.0657845,0.0733237,0.0825595,0.0893459,0.111788,0.12255,0.11021,0.112546,0.105678,0.109716
Sq2D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.106005,0.0959521,0.107541,0.120286,0.0968446,0.0896496,0.0854592,0.069126,0.0585823,0.0569693,0.051015,0.0574129,0.0835937,0.0849888,0.0828274,0.103865,0.0869265,0.0925243,0.0788315,0.0878533,0.0903022,0.102024,0.124855,0.116201,0.1177,0.0977712,0.101165,0.104267,0.0950632,0.110636,0.105761,0.0785941,0.0784034,0.0850407,0.0867274,0.105159,0.104076,0.099453,0.085669,0.0750248,0.0733248,0.0852245,0.0941894,0.0924397,0.102436,0.0954284,0.0938791,0.0893891,0.0978394,0.0971571,0.0920136
Sq2D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.124016,0.143525,0.116687,0.0949308,0.106353,0.0871288,0.0814133,0.0745438,0.0583044,0.0529527,0.0664629,0.071416,0.0798889,0.0795382,0.0817164,0.0909523,0.113484,0.0999427,0.109016,0.102477,0.105858,0.108321,0.112296,0.115127,0.121566,0.140311,0.119414,0.119129,0.114107,0.0776618,0.0821165,0.0991841,0.0930763,0.104163,0.105736,0.0951668,0.0984815,0.0717218,0.0696925,0.0792713,0.082306,0.0853127,0.0830753,0.0746219,0.0696101,0.076378,0.085449,0.109105,0.105111,0.0889607,0.0703626
Sq2D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.107238,0.110523,0.102568,0.0862414,0.0840877,0.0840038,0.0692474,0.0664068,0.0809592,0.0828457,0.0857708,0.09043,0.0685071,0.059555,0.062014,0.0711804,0.0776701,0.101325,0.097626,0.117692,0.112243,0.099169,0.106079,0.125712,0.132616,0.119615,0.125066,0.116739,0.12457,0.139255,0.134893,0.125298,0.124935,0.109048,0.100439,0.0922562,0.0959742,0.124504,0.101912,0.0901519,0.0918663,0.0824177,0.0743975,0.104413,0.1127,0.0978056,0.0805232,0.0758193,0.0778012,0.0803784,0.0873249
Sq2D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.105342,0.103476,0.0924211,0.0796333,0.0633998,0.0564571,0.061979,0.0683398,0.0621684,0.0743982,0.083275,0.0820351,0.087256,0.0952467,0.0884387,0.0852223,0.100165,0.109385,0.125574,0.15134,0.180477,0.191759,0.194701,0.171607,0.13293,0.132813,0.139122,0.158961,0.160483,0.159113,0.153066,0.135279,0.122145,0.126096,0.142051,0.144725,0.121651,0.104036,0.119677,0.109332,0.110862,0.111836,0.118417,0.0844833,0.0565977,0.0627578,0.0761784,0.073796,0.0703266,0.0790682,0.0680758
Sq2D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.100705,0.0757412,0.0763551,0.0851509,0.0719106,0.0694916,0.0760024,0.0660105,0.0715597,0.0813655,0.0709173,0.073828,0.0881831,0.0995905,0.122812,0.125077,0.146149,0.178641,0.192846,0.16176,0.143041,0.131037,0.100227,0.0870272,0.0869584,0.0780634,0.0797241,0.0714618,0.0772966,0.0851747,0.0796887,0.108997,0.138214,0.136089,0.109652,0.101323,0.117674,0.106739,0.0998522,0.103371,0.0864184,0.0889001,0.0749907,0.0837987,0.0993021,0.0895624,0.0718501,0.065607,0.0722903,0.0805384,0.104413
Sq2D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0975941,0.0807285,0.0664773,0.0699908,0.0873936,0.0840556,0.0881649,0.10192,0.0850762,0.0691573,0.104132,0.113437,0.111803,0.11546,0.125876,0.172703,0.175291,0.116238,0.0819335,0.0785869,0.0642318,0.0580554,0.0628799,0.0583199,0.0547781,0.0524583,0.0531568,0.04715,0.0423268,0.0505953,0.0680583,0.086516,0.099283,0.0973729,0.109017,0.109776,0.105014,0.127111,0.113561,0.09638,0.0960244,0.108032,0.117361,0.101081,0.102387,0.104046,0.0913717,0.0915409,0.0985858,0.0985106,0.0888488
